Benefit_ID,FMR_Code,Year_ID,Benefit_Title,Benefit_Title_HI,Benefit_Description,Benefit_Description_HI,Benefit_Type,Amount,Who_Is_Eligible,Where_To_Avail,Documents_Required,Helpline,Display_Order,Status
BEN001,RCH.1,,Janani Suraksha Yojana (JSY) — cash for institutional delivery,जननी सुरक्षा योजना (JSY) — संस्थागत प्रसव हेतु नकद सहायता,"Cash assistance paid directly into the mother's bank account for delivering in a government health facility. Bihar is a Low Performing State, so every pregnant woman is eligible regardless of age, birth order or income.","सरकारी अस्पताल में प्रसव कराने पर माता के बैंक खाते में सीधे नकद सहायता। बिहार में सभी गर्भवती महिलाएं पात्र हैं — आयु, बच्चों की संख्या या आय की कोई शर्त नहीं।",Cash Benefit,"Rs 1,400 rural / Rs 1,000 urban (VERIFY current state rate)",All pregnant women delivering in a government or accredited private facility,"Any government health facility in Sheikhpura — Sadar Hospital, CHC, PHC, APHC or Ayushman Arogya Mandir","Aadhaar, MCP (Mother and Child Protection) card, bank passbook",104,1,Active
BEN002,RCH.1,,Janani Shishu Suraksha Karyakram (JSSK) — completely free delivery,जननी शिशु सुरक्षा कार्यक्रम (JSSK) — पूर्णत: नि:शुल्क प्रसव,"Free delivery including caesarean section, free medicines, free tests, free blood, free diet during the stay and free transport both ways. No family should pay anything for a delivery at a government facility.","नि:शुल्क प्रसव एवं सिजेरियन, नि:शुल्क दवा, जांच, रक्त, भोजन तथा आने-जाने का वाहन। सरकारी अस्पताल में प्रसव पर परिवार को कुछ भी नहीं देना है।",Free Service,Free — no charge of any kind,"Every pregnant woman, and every sick newborn up to 1 year","Any government health facility in Sheikhpura — Sadar Hospital, CHC, PHC, APHC or Ayushman Arogya Mandir","MCP card helps, but care cannot be refused without it",102,2,Active
BEN003,RCH.1,,PMSMA — free antenatal check-up on the 9th of every month,प्रधानमंत्री सुरक्षित मातृत्व अभियान — हर माह की 9 तारीख को नि:शुल्क जांच,"Assured free antenatal check-up by a doctor on the 9th of every month, including all necessary tests and identification of high-risk pregnancies so complications are caught early.","प्रत्येक माह की 9 तारीख को चिकित्सक द्वारा नि:शुल्क प्रसव पूर्व जांच, आवश्यक परीक्षण एवं जोखिम वाली गर्भावस्था की पहचान।",Free Service,Free,All pregnant women in the 2nd and 3rd trimester,"All CHCs, PHCs and Sadar Hospital, Sheikhpura, on the 9th of every month",MCP card,104,3,Active
BEN004,RCH.1,,"Free ambulance for delivery, referral and drop-back","प्रसव, रेफरल एवं घर वापसी हेतु नि:शुल्क एम्बुलेंस","Free ambulance from home to the facility, between facilities on referral, and back home after discharge. Dial 102.","घर से अस्पताल, रेफरल पर एक अस्पताल से दूसरे, तथा छुट्टी के बाद घर वापस — नि:शुल्क एम्बुलेंस। 102 डायल करें।",Free Transport,Free,Pregnant women and sick newborns,Call 102 from anywhere in the district,None,102,4,Active
BEN005,RCH.3,,Sick Newborn Care Unit (SNCU) — free newborn intensive care,नवजात शिशु देखभाल इकाई (SNCU) — नि:शुल्क गहन चिकित्सा,"Free specialised intensive care for sick and premature newborns — warmers, phototherapy for jaundice, oxygen support and round-the-clock nursing.","बीमार एवं समय से पूर्व जन्मे नवजात शिशुओं हेतु नि:शुल्क गहन चिकित्सा — वार्मर, पीलिया हेतु फोटोथेरेपी, ऑक्सीजन एवं 24 घंटे देखभाल।",Free Service,Free,Newborns up to 28 days needing intensive care,"Sadar Hospital, Sheikhpura","MCP card, birth record",102,1,Active
BEN006,RCH.3,,Nutrition Rehabilitation Centre (NRC) — free treatment for severe malnutrition,पोषण पुनर्वास केंद्र (NRC) — गंभीर कुपोषण का नि:शुल्क उपचार,"Free 14-day admission with therapeutic feeding, medical treatment and counselling for the mother, plus compensation for the mother's wage loss while she stays.","गंभीर कुपोषित बच्चों हेतु 14 दिन का नि:शुल्क उपचार, पोषण आहार, परामर्श एवं माता को मजदूरी क्षतिपूर्ति।",Free Service,"Free, plus wage compensation to the attending mother (VERIFY rate)",Children under 5 with Severe Acute Malnutrition (SAM),"Sadar Hospital, Sheikhpura — referral through your ASHA or Anganwadi Sevika","MCP card, Aadhaar",104,2,Active
BEN007,RCH.3,,Rashtriya Bal Swasthya Karyakram (RBSK) — free child health screening,राष्ट्रीय बाल स्वास्थ्य कार्यक्रम (RBSK) — बच्चों की नि:शुल्क जांच,"Free screening of children for 30 identified conditions — birth defects, deficiencies, diseases and developmental delays — with free treatment and free surgery where needed, including at tertiary hospitals outside the district.","0 से 18 वर्ष के बच्चों की 30 प्रकार की बीमारियों हेतु नि:शुल्क जांच, तथा आवश्यकता पड़ने पर नि:शुल्क इलाज एवं शल्य चिकित्सा।",Free Service,"Free, including referral surgery",All children from birth to 18 years,Anganwadi centres and government schools — RBSK mobile teams visit on schedule,Aadhaar or school ID,104,3,Active
BEN008,RCH.3,,Home Based Newborn Care — your ASHA visits your newborn,गृह आधारित नवजात देखभाल — आशा दीदी घर आकर देखभाल करती हैं,"Your ASHA visits the newborn at home on days 3, 7, 14, 21, 28 and 42 to check weight, feeding and danger signs, and refers immediately if anything is wrong.","आशा दीदी नवजात के घर पर दिन 3, 7, 14, 21, 28 एवं 42 को जाकर वजन, स्तनपान एवं खतरे के लक्षणों की जांच करती हैं।",Free Service,Free,Every newborn in the village,At your home — contact your ASHA,None,104,4,Active
BEN009,RCH.4,,Free vaccination for every child,हर बच्चे का नि:शुल्क टीकाकरण,"All routine childhood vaccines free — BCG, Hepatitis B, OPV, Pentavalent, Rotavirus, PCV, IPV, Measles-Rubella, JE and DPT boosters. Protects against 12 life-threatening diseases.","सभी नियमित टीके नि:शुल्क — बीसीजी, हेपेटाइटिस बी, पोलियो, पेंटावेलेंट, रोटावायरस, पीसीवी, खसरा-रूबेला आदि। 12 गंभीर बीमारियों से सुरक्षा।",Free Service,Free,All children from birth to 5 years,"Village Health and Nutrition Day sessions at the Anganwadi, and Nearest Ayushman Arogya Mandir (Health Sub-Centre) or APHC",MCP card,104,1,Active
BEN010,RCH.4,,Free Td vaccination for pregnant women,गर्भवती महिलाओं हेतु नि:शुल्क टीडी टीका,"Free tetanus-diphtheria vaccination during pregnancy, protecting both mother and newborn against tetanus.","गर्भावस्था के दौरान नि:शुल्क टीडी टीका, जो माता एवं नवजात दोनों की टिटनेस से रक्षा करता है।",Free Service,Free,All pregnant women,Nearest Ayushman Arogya Mandir (Health Sub-Centre) or APHC and VHND sessions,MCP card,104,2,Active
