Post_ID,Slug,Title,Short_Description,Full_Description,Content_Type,Category_ID,Featured_Image_URL,Event_Start_Date,Event_End_Date,Event_Time,Venue,Location,External_URL,Attachment_URL,Attachment_Name,Published_Date,Scheduled_Date,Author,Is_Featured,Status,Created_Date,Updated_Date
POST001,world-breastfeeding-week-2026,World Breastfeeding Week 2026,District-level awareness activities are being organised across Sheikhpura to promote breastfeeding and improve maternal and child health outcomes.,"The District Health Society, Sheikhpura is observing World Breastfeeding Week with awareness activities across all six blocks. Activities include mothers' meetings at Ayushman Arogya Mandirs, counselling sessions on early initiation and exclusive breastfeeding, rallies by ASHA workers and Anganwadi sevikas, and orientation of frontline workers on IYCF practices.

Block-level teams will report daily activity counts to the DPMU. Facility in-charges are requested to ensure that every delivery point displays IYCF messaging and that breastfeeding counselling is recorded in the mother's case sheet.",Event,PCAT08,,2026-08-01,2026-08-07,10:00 AM,All Blocks,Sheikhpura District,,,,2026-07-25,,District Programme Manager,Yes,Published,2026-07-25,2026-07-25
POST002,district-health-camp-chewara-2026,District Health Camp — PHC Chewara,"A full-day health camp offering general OPD, NCD screening, eye check-up, anaemia testing and ABHA registration.","A district-level health camp will be organised at PHC Chewara covering general OPD, non-communicable disease screening, eye check-up, anaemia testing and ABHA registration.

Specialist doctors from Sadar Hospital will be deputed for the day. Free medicines will be provided under the Free Drug Service Initiative. Community mobilisation will be carried out by ASHA workers in the preceding week.",Event,PCAT06,,2026-08-25,2026-08-25,09:00 AM,PHC Chewara,"Chewara Block, Sheikhpura",,,,2026-08-05,,District Programme Manager,Yes,Published,2026-08-05,2026-08-05
POST003,abha-full-coverage-all-hsc,Sheikhpura Achieves Full ABHA Coverage Across All Health Sub-Centres,Every health sub-centre in the district is now onboarded to the BHAVYA platform with daily reporting and full ABHA generation coverage.,"Sheikhpura district has achieved full ABHA (Ayushman Bharat Health Account) generation coverage at all health sub-centres, with every HSC now onboarded to the BHAVYA platform and reporting daily.

The district recorded consistent improvement in teleconsultation uptake and vitals capture over the review period. The Civil Surgeon has commended the block teams and Community Health Officers for sustained data entry discipline.",News,PCAT15,,,,,,Sheikhpura District,https://mera.bhavyabiharhealth.in/,,,2026-08-12,,District M&E Officer,Yes,Published,2026-08-12,2026-08-12
POST004,cho-cphc-training-august-2026,Two-Day CHO Training on CPHC Service Packages,"Training for Community Health Officers on the twelve CPHC service packages, teleconsultation protocols and BHAVYA reporting.","A two-day training programme on Comprehensive Primary Health Care service packages will be conducted for Community Health Officers posted at Ayushman Arogya Mandirs.

Sessions will cover the twelve service packages, teleconsultation protocols, NCD screening workflow, and reporting through the BHAVYA platform. Participants must bring their facility login credentials.",Event,PCAT03,,2026-09-10,2026-09-11,10:00 AM,"District Training Centre, Sadar Hospital Campus",Sheikhpura,,,,2026-08-14,,District Programme Manager,No,Published,2026-08-14,2026-08-14
POST005,dhs-monthly-review-august-2026,Monthly District Health Society Review Meeting,"Monthly review of health services across the district, chaired by the District Magistrate.","The monthly review meeting of the District Health Society will be chaired by the District Magistrate. Progress of health services across all six blocks will be reviewed, including maternal and child health, immunisation, disease control programmes and the functioning of Ayushman Arogya Mandirs.",Event,PCAT05,,2026-08-28,2026-08-28,11:00 AM,Collectorate Conference Hall,Sheikhpura,,,,2026-08-16,,District Programme Manager,No,Published,2026-08-16,2026-08-16
POST006,measles-rubella-vaccination-drive-2026,Special Measles-Rubella Vaccination Drive,"District-wide MR vaccination drive for children aged 9 months to 5 years, with session sites at Anganwadi centres, schools and health facilities.","A special measles-rubella vaccination drive will be conducted across all blocks of Sheikhpura district targeting children in the 9 months to 5 years age group.

Session sites will be organised at Anganwadi centres, schools and health facilities. Micro-plans have been shared with block teams. Cold chain readiness has been verified at all points.",Event,PCAT07,,2026-09-15,2026-09-30,09:00 AM,All Session Sites,Sheikhpura District,,,,2026-08-17,,District Immunisation Officer,No,Published,2026-08-17,2026-08-17
POST007,revised-aam-reporting-format-2026,Revised Monthly Reporting Format for Ayushman Arogya Mandirs,"Updated AAM reporting format takes effect this quarter, capturing teleconsultation counts, disaggregated NCD screening and ABHA linkage status.","Revised monthly reporting formats for Ayushman Arogya Mandirs take effect from this quarter. The updated format captures teleconsultation counts, NCD screening disaggregated by age band, and ABHA linkage status.

The format is available in the Documents section of this portal. Block Programme Managers must ensure all facilities switch to the new format from the current reporting month.",Update,PCAT12,,,,,,Sheikhpura District,,NEEDS MANUAL INPUT,AAM Monthly Report Format.xlsx,2026-08-10,,District M&E Officer,No,Published,2026-08-10,2026-08-10
POST008,nutrition-month-2026,Rashtriya Poshan Maah 2026,"Month-long nutrition awareness campaign with community-based events, growth monitoring drives and IYCF counselling across all blocks.","Rashtriya Poshan Maah will be observed throughout September with weekly themes covering growth monitoring, anaemia, complementary feeding and Poshan Vatikas. Block teams will conduct Village Health Sanitation and Nutrition Days with expanded coverage.",Event,PCAT02,,2026-09-01,2026-09-30,,All Blocks,Sheikhpura District,,,,,2026-08-28 09:00,District Programme Manager,No,Scheduled,2026-08-17,2026-08-17
POST009,eye-donation-fortnight-2026,Eye Donation Fortnight 2026 (draft),Draft announcement for the district observance of Eye Donation Fortnight.,Draft content pending approval from the Civil Surgeon. Dates and venue to be confirmed.,Event,PCAT11,,,,,,Sheikhpura District,,,,,,District Programme Manager,No,Draft,2026-08-17,2026-08-17
POST010,world-tb-day-2026,World TB Day 2026 Observed Across the District,"Awareness rallies, screening camps and Ni-kshay Mitra felicitation were held across all blocks to mark World TB Day.","World TB Day was observed with awareness rallies, active case-finding camps and felicitation of Ni-kshay Mitras who have supported nutritional assistance to TB patients in the district.",News,PCAT01,,2026-03-24,2026-03-24,,All Blocks,Sheikhpura District,,,,2026-03-25,,District TB Officer,No,Archived,2026-03-25,2026-03-25
